sentence	raw_sentence
سفینہ چاہیے اس بحر بیکراں کے لیے	سفینہ چاہیے اس بحر بیکراں کے لیے
اگر وہ سرو قد‘ گرم خرام ناز آ جاوے	اگر وہ سرو قد‘ گرمِ خرامِ ناز آ جاوے
جو وائرس کے ساتھ ساتھ افواہوں کے خلاف بھی لڑ رہے ہیں	جو وائرس کے ساتھ ساتھ افواہوں کے خلاف بھی لڑ رہے ہیں
اس کا آغاز سیاسی جماعتوں کی تنظیم کو بہتر بنانے سے ہو گا	اس کا آغاز سیاسی جماعتوں کی تنظیم کو بہتر بنانے سے ہو گا۔
اف بہت ظلم ہوا بیچاری ثانیہ اور اس کے بچے رومی کے ساتھ مجھے بہت ترس آرہا تھا رومی پر	اف بہت ظلم ہوا بیچاری ثانیہ اور اس کے بچے رومی کے ساتھ مجھے بہت ترس آرہا تھا رومی پر
میں کہہ رہا ہوں بولر اور بیٹسمین میں فرق ہوتا ہے اس لئے بولر کی ایکزامپل بولر سے ہی دو بٹسمین سے نہیں	میں کہہ رہا ہوں بولر اور بیٹسمین میں فرق ہوتا ہے۔ اس لئے بولر کی ایکزامپل بولر سے ہی دو بٹسمین سے نہیں
یے نواب ہے	یے نواب ہے
اور خدا سے دعا کرو کہ میرے پروردگار مجھے بخش دے اور مجھ پر رحم کر اور تو سب سے بڑا رحم کرنے والا ہے	اور خدا سے دعا کرو کہ میرے پروردگار مجھے بخش دے اور مجھ پر رحم کر اور تو سب سے بڑا رحم کرنے والا ہے
سراپا رہن عشق و ناگزیر الفت ہستی	سراپا رہنِ عشق و ناگزیرِ الفتِ ہستی
غیر نے کی آہ لیکن وہ خفا مجھ پر ہوا	غیر نے کی آہ، لیکن وہ خفا مجھ پر ہوا
ہنس کے کرتا ہے بیان شوخئ گفتار دوست	ہنس کے کرتا ہے بیانِ شوخئ گفتارِ دوست
انتخابات کے نظام میں بہتری ارتقا سے آئے گی اور اس کی بنیاد رکھ دی گئی ہے	انتخابات کے نظام میں بہتری ارتقا سے آئے گی اور اس کی بنیاد رکھ دی گئی ہے۔
میں ظلمت شب میں لے کے نکلوں گا اپنے درماندہ کارواں کو	میں ظلمت شب میں لے کے نکلوں گا اپنے درماندہ کارواں کو
غیر سے‘ دیکھیے‘ کیا خوب نباہی اس نے	غیر سے‘ دیکھیے‘ کیا خوب نباہی اس نے
ان کے خیال میں مودی صاحب ایک طرح سے میگلومینیا کا شکار ہیں	ان کے خیال میں مودی صاحب ایک طرح سے میگلومینیا کا شکار ہیں۔
کہ فکر مدرسہ و خانقاہ ہو آزاد	کہ فکر مدرسہ و خانقاہ ہو آزاد
فرنگی شیشہ گر کے فن سے پتھر ہوگئے پانی	فرنگی شیشہ گر کے فن سے پتھر ہوگئے پانی
بلبل تھا کوئی اداس بیٹھا	بلبل تھا کوئی اداس بیٹھا
نہ پڑھنے والوں کا ابھی سارا زور قلم جمہوریت کے مقدمات پر صرف کرنا چاہیے	نہ پڑھنے والوں کا ابھی سارا زور قلم جمہوریت کے مقدمات پر صرف کرنا چاہیے۔
نیا کام کرنے والےافراد ذہنی دباؤ کا شکار ہوجاتے ہیں	نیا کام کرنے والےافراد ذہنی دباؤ کا شکار ہوجاتے ہیں
شمار سبحہ مرغوب بت مشکل پسند آیا	شمارِ سُبحہ مرغوبِ بتِ مشکل پسند آیا
دل دیا جان کے کیوں اس کو وفادار اسد	دل دیا جان کے کیوں اس کو وفادار، اسد
بھاگے تھے ہم بہت‘ سو اسی کی سزا ہے یہ	بھاگے تھے ہم بہت‘ سو اسی کی سزا ہے یہ
اس پروگرام کے دوران کوئی کمرشل پیش نہیں کیا جاتا	اس پروگرام کے دوران کوئی کمرشل پیش نہیں کیا جاتا
اس لیے کہ معمول کی سڑک اس وقت بند ہے	اس لیے کہ معمول کی سڑک اس وقت بند ہے۔
پہلے نسبتا معمولی چیزوں کا تو خیال کر لیں	پہلے نسبتا معمولی چیزوں کا تو خیال کر لیں۔
صرفہ ہے ضبط آہ میں میرا وگرنہ میں	صرفہ ہے ضبطِ آہ میں میرا، وگرنہ میں
مگر گوشت پوست کا ایک بڑا سا بت بنالیتے ہیں اور اسکو پوجنا شروع کردیتے ہیں	مگر گوشت پوست کا ایک بڑا سا بت بنالیتے ہیں اور اسکو پوجنا شروع کردیتے ہیں
احد چیموں کی بھی پانچوں گھی میں ہوتی ہیں اور خادمان قوم بھی فائدے میں ہوتے ہیں	احد چیموں کی بھی پانچوں گھی میں ہوتی ہیں اور خادمان قوم بھی فائدے میں ہوتے ہیں۔
ایک گھر ہی لیا بڑا سا اور اس ڈرامے میں صرف اسی گھر میں شوٹنگ ہوئی کہیں اور تو دکھایا نہیں گیا	ایک گھر ہی لیا بڑا سا اور اس ڈرامے میں صرف اسی گھر میں شوٹنگ ہوئی کہیں اور تو دکھایا نہیں گیا
ہتھیاروں کی عالمی تجارت امریکا اور روس کے درمیان خلا بڑھ گیا رپورٹ	ہتھیاروں کی عالمی تجارت امریکا اور روس کے درمیان خلا بڑھ گیا رپورٹ
ہمت بڑھی آگے بڑھنے کی	ہمت بڑھی آگے بڑھنے کی
اس کے پتے اور پھول دور سے پاکستانی جھنڈا لگتے ہیں	اس کے پتے اور پھول دور سے پاکستانی جھنڈا لگتے ہیں
سر احمد کہہ رہے ہیں یہاں اسائنمنٹ دے جاؤ	سر احمد کہہ رہے ہیں یہاں اسائنمنٹ دے جاؤ
اقبال کے افکار سے روشن ہیں کئی دیپ	اقبال کے افکار سے روشن ہیں کئی دیپ
مانگے ہے پہر کسی کو لب بام پر ہوس	مانگے ہے پهر، کسی کو لبِ بام پر ہوس
قدرت کا نایاب ہی شاہکار ہے اقبال	قدرت کا نایاب ہی شاہکار ہے اقبال
یہ ہم میں سے ہیں	یہ ہم میں سے ہیں۔
میرے والد ترکھان تھے	میرے والد ترکھان تھے
اردو شاعری ایک شاعری کی روایت ہے جس میں بہت سے مختلف اسلوب ہیں	اردو شاعری ایک شاعری کی روایت ہے جس میں بہت سے مختلف اسلوب ہیں۔
اس موقع پر وہ ابدیدہ ہو گئیں	اس موقع پر وہ آبدیدہ ہو گئیں
تاجروں کا تو اچھا ہوا کہ بھرم کھل گیا	تاجروں کا تو اچھا ہوا کہ بھرم کھل گیا۔
نصیر دولت و دیں اور معین ملت و ملک	نصیر دولت و دیں اور معین ملت و ملک
خواتین کو بڑھتی عمر کے طعنے دینے والوں کو حدیقہ کیانی کا کرارا جواب	خواتین کو بڑھتی عمر کے طعنے دینے والوں کو حدیقہ کیانی کا کرارا جواب
نوید امن ہے بیداد دوست جاں کے لیے	نوید امن ہے بیداد دوست جاں کے لیے
اس کی تو خامشی میں بھی‘ ہے یہی مدعا کہ ’’ یوں ‘‘	اس کی تو خامشی میں بھی‘ ہے یہی مدعا کہ ’’ یوں ‘‘
انگلش پریمیئر لیگ کا ریکارڈ رونی کے نام	انگلش پریمیئر لیگ کا ریکارڈ رونی کے نام
اس کی ساکھ داو پر لگی ہے	اس کی ساکھ داؤ پر لگی ہے۔
ڈگری حاصل کی کم عمری میں وہ پولش جنرل کا پولیٹیکل ایڈوائزر بن گیا	ڈگری حاصل کی کم عمری میں وہ پولش جنرل کا پولیٹیکل ایڈوائزر بن گیا
ہمیں‘ خریر شرر باف سنگ‘ خلعت ہے	ہمیں‘ خریرِ شرر بافِ سنگ‘ خلعت ہے
جب یہ سب کچھ معلوم تھا	جب یہ سب کچھ معلوم تھا۔
بستر میں داخل ہوگئے	بستر میں داخل ہوگئے
واں وہ غرور عز و ناز یاں یہ حجاب پاس وضع	واں وہ غرور عز و ناز یاں یہ حجاب پاس وضع
یا اپنا گریباں چاک یا دامن یزداں چاک	یا اپنا گریباں چاک یا دامن یزداں چاک
پردہ چھوڑا ہے وہ اس نے کہ اٹھائے نہ بنے	پردہ چھوڑا ہے وہ اس نے کہ اٹھائے نہ بنے
دیدۂ پر خوں ہمارا ساغر سرشار دوست	دیدۂ پر خوں ہمارا ساغرِ سرشارِ دوست
اس کے عملی مظاہرے سے بھی گریز نہیں کیا	اس کے عملی مظاہرے سے بھی گریز نہیں کیا
ہے جوش گل بہار میں یاں تک کہ‘ ہر طرف	ہے جوشِ گل بہار میں یاں تک کہ‘ ہر طرف
عدالت نے علی ظفر کو میشا شفیع کیخلاف ہتک عزت کیس میں جرح کیلئے کل دوبارہ طلب کرلیا	عدالت نے علی ظفر کو میشا شفیع کیخلاف ہتک عزت کیس میں جرح کیلئے کل دوبارہ طلب کرلیا
بڑی عجیب ھے نادان دل کی خواھش یا رب	بڑی عجیب ھے نادان دل کی خواھش یا رب
ان باتوں کے ادراک کے ساتھ ہمیں کوئی حکمت عملی تلاش کرنی ہے	ان باتوں کے ادراک کے ساتھ، ہمیں کوئی حکمت عملی تلاش کرنی ہے۔
پڑھے لکھے اور انگریزی بولنے والے کرسچیئن سب امریکہ کینیڈا اور آسٹریلیا آباد ہو گئے	پڑھے لکھے اور انگریزی بولنے والے کرسچیئن سب امریکہ، کینیڈا اور آسٹریلیا آباد ہو گئے۔
ان کا عمومی رویہ بہت سارے معاملات میں غیر متوازن ہے	ان کا عمومی رویہ بہت سارے معاملات میں غیر متوازن ہے۔
یزید کو تو نہ تھا اجتہاد کا پایہ	یزید کو تو نہ تھا اجتہاد کا پایہ
شہرۂ تیزی شمشیر قضا ہے تو سہی	شہرۂ تیزیِ شمشیرِ قضا ہے تو سہی
ترے وعدے پر جیے ہم تو یہ جان جھوٹ جانا	ترے وعدے پر جیے ہم تو یہ جان جھوٹ جانا
ان کا بڑا سرمایہ کار بہرحال نقصان میں نہیں رہے گا	ان کا بڑا سرمایہ کار بہرحال نقصان میں نہیں رہے گا۔
آتش فشاں شامل ہیں	آتش فشاں شامل ہیں
کشتۂ تغافل کو خصم خوں بہا پایا	کشتۂ تغافل کو خصم خوں بہا پایا
دل افسردہ گویا حجرہ ہے یوسف کے زنداں کا	دل افسردہ گویا حجرہ ہے یوسف کے زنداں کا
آج کل کسی کو بھی لفٹ نہیں دی جاتی ہے	آج کل کسی کو بھی لفٹ نہیں دی جاتی ہے
بے چشم دل نہ کر ہوس سیر لالہ زار	بے چشمِ دل نہ کر ہوسِ سیرِ لالہ زار
علامہ ساجد نقوی نے کہا ہے فلسطین میں اسرائیل اور کشمیرمیں	علامہ ساجد نقوی نے کہا ہے فلسطین میں اسرائیل اور کشمیرمیں
کھینچنے والوں سےگلا نہ ہوا	کھینچنے والوں سےگلا نہ ہوا
اقبالیات کے باب میں سب سے زیادہ کتابیں اسی موضوع پر لکھی گئیں	اقبالیات کے باب میں، سب سے زیادہ کتابیں اسی موضوع پر لکھی گئیں۔
اس اصول کو اگرقبول کر لیا جائے توانسانی تہذیب کا طویل سفر اورارتقا کالعدم قرار پائیں گے	اس اصول کو اگرقبول کر لیا جائے توانسانی تہذیب کا طویل سفر اورارتقا کالعدم قرار پائیں گے۔
جیو انٹرٹینمنٹ کی طرف سے حج کے موقع پر کوئی خصوصی ٹرانسمیشن پیش نہیں کی گئی	جیو انٹرٹینمنٹ کی طرف سے حج کے موقع پر کوئی خصوصی ٹرانسمیشن پیش نہیں کی گئی
تماشا کشور ائینہ میں ائینہ بند ایا	تماشا کشور آئینہ میں آئینہ بند آیا
کوئی ایسا جو آپ میں سے کسی نے آزمایا ہوا ہو اور بہت ہی اچھا کام کرتا ہو	کوئی ایسا جو آپ میں سے کسی نے آزمایا ہوا ہو اور بہت ہی اچھا کام کرتا ہو
پر ہوا ہے سیل سے پیمانہ کس تعمیر کا	پر ہوا ہے سیل سے پیمانہ کس تعمیر کا
وحشت خواب عدم شور تماشا ہے اسد	وحشت خواب عدم شور تماشا ہے اسدؔ
ان کے جواب میں جو کچھ لکھا گیا اس کا غالب حصہ علمی سے زیادہ مناظرانہ ہے	ان کے جواب میں جو کچھ لکھا گیا، اس کا غالب حصہ علمی سے زیادہ مناظرانہ ہے۔
